Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Camera_ms_abundances_eq_med_norm_neored,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8963899,"Plasma lipoprotein remodeling",13,54,0.0037133819282079493,3.668911775052496E-5,0.02229200407282631,17,30,0.002219591595146493,-2.0,9606,Homo sapiens,"P04114;P55058;P04180;P02649;P06727;P08519;P02647;P02768;P02656;P02655;P02652;P11597","","R-HSA-174690;R-HSA-266310;R-HSA-264678;R-HSA-264679;R-HSA-174757;R-HSA-6784622;R-HSA-266350;R-HSA-176879;R-HSA-266089;R-HSA-266315;R-HSA-174739;R-HSA-264695;R-HSA-264689;R-HSA-349404;R-HSA-266303;R-HSA-266328;R-HSA-266299"
R-HSA-114608,"Platelet degranulation ",64,139,0.009558520148535277,1.0273279133876915E-4,0.02229200407282631,8,11,8.138502515537141E-4,-2.0,9606,Homo sapiens,"P08514;P01042;P12814;P12259;P13473;P00747;O00391;P00746;P02768;P02647;P02765;P08567;P05452;Q99969;P07996;P29622;Q13201;Q96C24;P16109;P18206;P11021;P02679;Q92520;P02675;O94919;Q01518;P00451;P02751;P08697;P01023;P21333;P02671;P05106;Q9NXH8;P04217;Q08380;P62937;Q6YHK3;Q14624;P02749;P16284;P23528;P00488;Q16610;P02787;P01137;P05155;Q9Y490;P00441;P01011;Q86UX7;Q13103;P07737;P37802;Q06033;O75083;P49908;P01009;P04075;P05121;P02775;P04275;P10909;P07225","","R-HSA-482775;R-HSA-481044;R-HSA-482772;R-HSA-482770;R-HSA-481010;R-HSA-481009;R-HSA-481007;R-HSA-351323"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",64,146,0.010039884472562233,1.0273279133876915E-4,0.02229200407282631,8,14,0.0010358094110683633,-2.0,9606,Homo sapiens,"P08514;P01042;P12814;P12259;P13473;P00747;O00391;P00746;P02768;P02647;P02765;P08567;P05452;Q99969;P07996;P29622;Q13201;Q96C24;P16109;P18206;P11021;P02679;Q92520;P02675;O94919;Q01518;P00451;P02751;P08697;P01023;P21333;P02671;P05106;Q9NXH8;P04217;Q08380;P62937;Q6YHK3;Q14624;P02749;P16284;P23528;P00488;Q16610;P02787;P01137;P05155;Q9Y490;P00441;P01011;Q86UX7;Q13103;P07737;P37802;Q06033;O75083;P49908;P01009;P04075;P05121;P02775;P04275;P10909;P07225","","R-HSA-482775;R-HSA-481044;R-HSA-482772;R-HSA-482770;R-HSA-481010;R-HSA-481009;R-HSA-481007;R-HSA-351323"
R-HSA-9656223,"Signaling by RAF1 mutants",12,49,0.003369550268188695,1.3628787854306826E-4,0.02229200407282631,6,7,5.179047055341817E-4,-2.0,9606,Homo sapiens,"P18206;P02671;P05106;P08514;P31946;P60709;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-9656213;R-HSA-9656212"
R-HSA-6802948,"Signaling by high-kinase activity BRAF mutants",13,44,0.0030257186081694403,1.411145274416001E-4,0.02229200407282631,4,6,4.439183190292986E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227"
R-HSA-5674135,"MAP2K and MAPK activation",13,49,0.003369550268188695,1.411145274416001E-4,0.02229200407282631,8,12,8.878366380585972E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P31946;P60709;P30086;P18206;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-9657603;R-HSA-5672980;R-HSA-5672978;R-HSA-9657606;R-HSA-5672972;R-HSA-5672973;R-HSA-9657608;R-HSA-9657599"
R-HSA-8964058,"HDL remodeling",9,24,0.001650391968092422,1.470002551652951E-4,0.02229200407282631,11,13,9.618230245634804E-4,-2.0,9606,Homo sapiens,"P55058;P04180;P02649;P02647;P02768;P02656;P02655;P11597","","R-HSA-266310;R-HSA-264678;R-HSA-264695;R-HSA-264679;R-HSA-264689;R-HSA-349404;R-HSA-266303;R-HSA-266328;R-HSA-266089;R-HSA-266299;R-HSA-266315"
R-HSA-372708,"p130Cas linkage to MAPK signaling for integrins",9,22,0.0015128593040847202,1.5341788013550228E-4,0.02229200407282631,3,3,2.219591595146493E-4,-2.0,9606,Homo sapiens,"P02671;P05106;P08514;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-372693;R-HSA-372705;R-HSA-372697"
R-HSA-6805567,"Keratinization",8,226,0.015541191032870307,1.7933470864563058E-4,0.02229200407282631,17,34,0.0025155371411660255,2.0,9606,Homo sapiens,"P08779;Q02487;P02538;P07384;P19013;P04264;O76011;P22532","","R-HSA-6814695;R-HSA-6806629;R-HSA-6805573;R-HSA-6814734;R-HSA-6814764;R-HSA-8934819;R-HSA-6805546;R-HSA-6806613;R-HSA-6810357;R-HSA-6811539;R-HSA-6814387;R-HSA-6806610;R-HSA-6809393;R-HSA-6809663;R-HSA-8942224;R-HSA-6814298;R-HSA-6810937"
R-HSA-6809371,"Formation of the cornified envelope",8,138,0.009489753816531426,1.7933470864563058E-4,0.02229200407282631,10,27,0.0019976324356318436,2.0,9606,Homo sapiens,"P08779;Q02487;P02538;P07384;P19013;P04264;O76011;P22532","","R-HSA-6814695;R-HSA-6810357;R-HSA-6811539;R-HSA-6814387;R-HSA-8942224;R-HSA-6814734;R-HSA-6814764;R-HSA-8934819;R-HSA-6814298;R-HSA-6810937"
