Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Camera_pea_abundances_eq_med_norm_neored,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-983169,"Class I MHC mediated antigen processing & presentation",5,473,0.03252647503782148,0.0022915129953144583,0.5428090685956889,5,48,0.003551346552234389,-1.0,9606,Homo sapiens,"P07711;O00161;Q13867;Q9Y6K9;P52888","","R-HSA-8863895;R-HSA-8863973;R-HSA-983162;R-HSA-1236948;R-HSA-8940641"
R-HSA-983168,"Antigen processing: Ubiquitination & Proteasome degradation",2,315,0.021661394581213037,0.0028442878377250135,0.5428090685956889,2,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q13867;P52888","","R-HSA-983162;R-HSA-8940641"
R-HSA-3359457,"Defective GIF causes intrinsic factor deficiency",1,2,1.3753266400770182E-4,0.004604461863139886,0.5428090685956889,1,1,7.39863865048831E-5,1.0,9606,Homo sapiens,"P27352","","R-HSA-3315455"
R-HSA-3359463,"Defective CUBN causes hereditary megaloblastic anemia 1",1,4,2.7506532801540364E-4,0.004604461863139886,0.5428090685956889,1,1,7.39863865048831E-5,1.0,9606,Homo sapiens,"P27352","","R-HSA-3296462"
R-HSA-3359462,"Defective AMN causes hereditary megaloblastic anemia 1",1,4,2.7506532801540364E-4,0.004604461863139886,0.5428090685956889,1,1,7.39863865048831E-5,1.0,9606,Homo sapiens,"P27352","","R-HSA-3296477"
R-HSA-9018519,"Estrogen-dependent gene expression",3,154,0.01059001512859304,0.004943075700900442,0.5428090685956889,3,66,0.004883101509322285,-1.0,9606,Homo sapiens,"P07339;Q07654;Q02790","","R-HSA-9038161;R-HSA-9018497;R-HSA-9023846"
R-HSA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",24,127,0.008733324164489065,0.005101515212071356,0.5428090685956889,12,14,0.0010358094110683633,1.0,9606,Homo sapiens,"P01033;P24592;O95633;P08833;Q9GZV9;Q13219;Q14515;P18065;P19022;P13611;Q9NQ76;P10451;Q08431;Q8NBP7;Q16270;P04070;P17936;P24821;P08253;Q14393;P05231;P05067;P07237;P01034","","R-HSA-381461;R-HSA-381412;R-HSA-381446;R-HSA-381537;R-HSA-8952289;R-HSA-381500;R-HSA-381487;R-HSA-381503;R-HSA-381518;R-HSA-381496;R-HSA-381435;R-HSA-381466"
R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",3,49,0.003369550268188695,0.005318351731593769,0.5428090685956889,11,29,0.00214560520864161,1.0,9606,Homo sapiens,"P20062;P27352;Q99895","","R-HSA-3000109;R-HSA-5693319;R-HSA-3000137;R-HSA-3000120;R-HSA-3000122;R-HSA-3000074;R-HSA-3000263;R-HSA-3000103;R-HSA-3000247;R-HSA-3000112;R-HSA-3000243"
R-HSA-9609523,"Insertion of tail-anchored proteins into the endoplasmic reticulum membrane",3,25,0.0017191583000962728,0.005871866500234194,0.5428090685956889,7,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"P46379;P09601;P05067","","R-HSA-9609921;R-HSA-9609860;R-HSA-9610442;R-HSA-9609899;R-HSA-9617595;R-HSA-9617596;R-HSA-9609917"
R-HSA-3108232,"SUMO E3 ligases SUMOylate target proteins",3,183,0.012584238756704717,0.011034300273364892,0.5428090685956889,4,131,0.009692216632139686,-1.0,9606,Homo sapiens,"Q9Y6K9;Q99497;P09874","","R-HSA-4551604;R-HSA-4755411;R-HSA-4085331;R-HSA-4551768"
R-HSA-2990846,"SUMOylation",3,192,0.013203135744739376,0.011034300273364892,0.5428090685956889,4,140,0.010358094110683634,-1.0,9606,Homo sapiens,"Q9Y6K9;Q99497;P09874","","R-HSA-4551604;R-HSA-4755411;R-HSA-4085331;R-HSA-4551768"
R-HSA-73887,"Death Receptor Signalling",6,158,0.010865080456608445,0.011098982402579389,0.5428090685956889,32,93,0.006880733944954129,-1.0,9606,Homo sapiens,"P19438;Q9Y6K9;O00220;O14763;P42574;P25445","","R-HSA-5357776;R-HSA-5357904;R-HSA-83586;R-HSA-83650;R-HSA-5357845;R-HSA-5357780;R-HSA-141316;R-HSA-5626962;R-HSA-5635741;R-HSA-83656;R-HSA-75146;R-HSA-71050;R-HSA-83660;R-HSA-141139;R-HSA-5357831;R-HSA-5626953;R-HSA-5693108;R-HSA-75238;R-HSA-5693055;R-HSA-3371353;R-HSA-5357757;R-HSA-75244;R-HSA-5626981;R-HSA-75187;R-HSA-5626982;R-HSA-5357860;R-HSA-5634221;R-HSA-5357928;R-HSA-5626988;R-HSA-141310;R-HSA-205117;R-HSA-83582"
R-HSA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",1,72,0.004951175904277266,0.013077135302159358,0.5428090685956889,10,16,0.0011837821840781297,-1.0,9606,Homo sapiens,"Q02790","","R-HSA-5618085;R-HSA-9705925;R-HSA-5618080;R-HSA-9690534;R-HSA-5618099;R-HSA-5618093;R-HSA-9725885;R-HSA-5618110;R-HSA-5618073;R-HSA-9678925"
R-HSA-3371568,"Attenuation phase",1,47,0.003232017604180993,0.013077135302159358,0.5428090685956889,1,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"Q02790","","R-HSA-5324617"
R-HSA-3371571,"HSF1-dependent transactivation",1,59,0.0040572135882272035,0.013077135302159358,0.5428090685956889,1,8,5.918910920390648E-4,-1.0,9606,Homo sapiens,"Q02790","","R-HSA-5324617"
